Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,26.200,0.749,0.275,0.461,0.788,0.932,1.072,1.200,1.556,2.417,1.335
5,21.400,0.772,0.243,0.427,0.536,0.836,0.949,1.142,5.156,12.000,1.295
10,27.000,0.723,0.275,0.441,0.801,0.914,1.015,1.111,1.225,1.340,1.384
15,24.800,0.931,0.323,0.816,0.903,0.979,1.054,1.129,3.646,5.783,1.074
20,24.600,0.921,0.491,0.835,0.880,0.946,1.003,1.047,2.629,4.278,1.086
25,24.200,0.859,0.427,0.832,0.880,0.929,0.977,1.000,1.107,1.179,1.164
30,21.200,0.837,0.351,0.809,0.869,0.916,0.983,1.054,1.200,1.236,1.195
35,22.800,0.847,0.261,0.812,0.877,0.922,0.976,1.013,1.329,2.437,1.181
40,22.800,0.823,0.327,0.786,0.864,0.914,1.000,1.068,1.249,1.501,1.215
45,24.200,0.881,0.513,0.837,0.878,0.933,1.000,1.019,1.174,1.209,1.135
50,19.200,0.760,0.252,0.616,0.824,0.910,0.993,1.037,1.095,1.095,1.316
55,26.200,0.803,0.211,0.781,0.840,0.898,0.961,1.006,1.222,1.396,1.245
