Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,101,101.000,300,528,795,817,963,1261,1456,1836,1932
1,100,100.000,296,506,736,769,996,1109,1142,2417,2417
2,100,100.000,259,411,495,579,808,914,951,1220,1220
3,100,100.000,266,422,648,684,855,993,1200,2610,2610
4,100,100.000,335,761,868,909,947,1076,1223,8667,8667
5,100,100.000,361,473,565,650,782,1041,1119,1327,1327
6,100,100.000,243,374,456,829,573,1059,4091,12000,12000
7,99,99.000,363,745,843,885,937,1114,1296,4179,4179
8,100,100.000,258,371,418,421,456,510,572,768,768
9,101,101.000,288,447,721,698,875,1076,1121,1275,1282
10,100,100.000,246,395,565,618,846,1006,1089,1155,1155
11,100,100.000,296,416,754,720,998,1104,1157,1445,1445
12,100,100.000,260,453,809,698,901,974,1002,1147,1147
13,100,100.000,287,409,780,687,904,1006,1064,1439,1439
14,100,100.000,504,852,899,940,993,1099,1225,2058,2058
15,100,100.000,572,865,934,954,995,1084,1214,2422,2422
16,100,100.000,678,853,896,899,938,1001,1054,1211,1211
17,99,99.000,564,865,921,965,980,1059,1100,5783,5783
18,101,101.000,645,819,872,952,948,1123,1305,3127,3646
19,100,100.000,253,410,816,704,902,1039,1106,1253,1253
20,100,100.000,567,826,882,893,950,1069,1141,1451,1451
21,99,99.000,527,846,883,884,928,990,1022,1195,1195
22,101,101.000,443,815,884,881,965,1050,1163,1382,1554
23,100,100.000,525,841,879,907,944,990,1054,4278,4278
24,100,100.000,628,832,891,919,968,1060,1093,2629,2629
25,100,100.000,600,854,893,913,959,1074,1153,1262,1262
26,100,100.000,494,804,871,843,915,972,1044,1142,1142
27,100,100.000,657,843,888,890,936,999,1017,1169,1169
28,100,100.000,319,775,858,807,906,976,999,1114,1114
29,99,99.000,479,775,847,838,906,948,968,2010,2010
30,101,101.000,420,791,860,829,930,976,1006,1057,1219
31,100,100.000,404,697,856,796,901,932,953,1024,1024
32,100,100.000,343,742,842,806,914,986,1039,1200,1200
33,99,99.000,465,830,867,864,908,971,1017,1067,1067
34,100,100.000,636,832,883,908,943,1058,1149,2088,2088
35,100,100.000,235,646,861,1290,906,988,2437,27806,27806
36,100,100.000,339,807,869,845,923,974,1012,1637,1637
37,101,101.000,441,815,877,839,912,944,993,1067,1126
38,100,100.000,496,811,883,872,930,1017,1126,2321,2321
39,100,100.000,528,831,875,864,901,955,974,1329,1329
40,100,100.000,353,763,858,804,896,972,1016,1544,1544
41,100,100.000,655,829,868,883,903,939,998,2685,2685
42,100,100.000,244,350,688,638,875,939,998,1135,1135
43,100,100.000,678,814,885,913,976,1077,1206,1904,1904
44,100,100.000,596,829,878,883,921,1016,1144,1450,1450
45,100,100.000,497,835,873,866,927,961,1013,1167,1167
46,100,100.000,548,824,863,866,923,966,1017,1127,1127
47,99,99.000,556,838,882,911,932,1014,1075,2757,2757
48,101,101.000,622,859,893,930,960,1074,1097,1843,2653
49,100,100.000,622,825,875,898,919,1055,1150,1847,1847
50,100,100.000,509,824,867,918,927,985,1037,5972,5972
51,100,100.000,288,435,731,675,863,946,1020,1448,1448
52,100,100.000,328,694,834,805,898,962,1066,3154,3154
53,100,100.000,224,316,432,527,805,889,907,1000,1000
54,100,100.000,551,814,861,873,920,983,1095,1792,1792
55,99,99.000,476,787,840,841,891,950,1055,1744,1744
56,101,101.000,554,797,834,830,873,931,975,1013,1222
57,100,100.000,615,794,842,848,901,972,1024,1130,1130
58,100,100.000,574,811,863,873,932,990,1039,1396,1396
59,100,100.000,211,335,686,603,829,897,932,998,998
