Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,100.000,0.759,0.261,0.409,0.486,0.670,0.928,1.059,4.519,36.379,1.317
5,100.000,1.033,0.269,0.386,0.476,0.858,1.064,3.747,13.088,27.583,0.968
10,100.200,0.759,0.251,0.370,0.430,0.624,1.010,1.337,5.189,26.572,1.317
15,100.000,0.723,0.255,0.463,0.632,0.895,1.068,1.180,2.376,8.172,1.383
20,99.800,0.794,0.247,0.447,0.739,0.911,1.055,1.160,3.078,15.973,1.260
25,100.200,0.608,0.266,0.385,0.456,0.586,0.817,0.991,5.203,9.439,1.645
30,99.800,0.670,0.253,0.379,0.428,0.514,0.799,1.085,8.117,16.321,1.492
35,100.200,0.859,0.292,0.708,0.877,0.958,1.088,1.177,1.601,6.660,1.164
40,99.800,1.020,0.230,0.378,0.510,0.796,1.042,1.455,7.940,63.263,0.980
45,100.200,0.607,0.231,0.354,0.430,0.795,1.053,1.224,2.475,4.757,1.647
50,100.000,0.585,0.238,0.347,0.436,0.766,0.954,1.058,1.766,6.463,1.708
55,99.800,0.859,0.237,0.368,0.483,0.843,0.979,1.170,13.207,25.311,1.164
