Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,SendPayment,1774505114.020580,1081,6,1
2,Balance,1774505114.030360,1168,0,1
5,TransactSavings,1774505114.040417,770,1,1
6,WriteCheck,1774505114.050365,880,2,1
4,SendPayment,1774505114.060356,761,5,1
1,Amalgamate,1774505114.070358,712,4,1
4,SendPayment,1774505114.081363,778,8,1
6,WriteCheck,1774505114.090450,715,7,1
5,TransactSavings,1774505114.101410,616,9,1
4,SendPayment,1774505114.112426,622,11,1
5,TransactSavings,1774505114.122231,665,12,1
6,WriteCheck,1774505114.131393,639,16,1
1,Amalgamate,1774505114.142448,644,10,1
2,Balance,1774505114.152228,677,14,1
4,SendPayment,1774505114.162287,653,13,1
2,Balance,1774505114.171427,755,17,1
5,TransactSavings,1774505114.181569,849,18,1
5,TransactSavings,1774505114.190391,854,15,1
6,WriteCheck,1774505114.200354,777,19,1
4,SendPayment,1774505114.212708,875,3,1
4,SendPayment,1774505114.222127,741,6,1
4,SendPayment,1774505114.232317,455,0,1
4,SendPayment,1774505114.242262,809,1,1
4,SendPayment,1774505114.252274,472,2,1
4,SendPayment,1774505114.262273,489,5,1
3,DepositChecking,1774505114.272272,413,4,1
2,Balance,1774505114.282271,885,8,1
5,TransactSavings,1774505114.291395,387,7,1
5,TransactSavings,1774505114.300383,440,9,1
4,SendPayment,1774505114.312705,806,11,1
3,DepositChecking,1774505114.322123,851,12,1
1,Amalgamate,1774505114.331089,476,16,1
1,Amalgamate,1774505114.340395,943,10,1
1,Amalgamate,1774505114.352715,950,14,1
3,DepositChecking,1774505114.360378,702,13,1
5,TransactSavings,1774505114.371429,484,17,1
6,WriteCheck,1774505114.381564,415,18,1
4,SendPayment,1774505114.390397,562,15,1
1,Amalgamate,1774505114.400442,318,19,1
6,WriteCheck,1774505114.412698,399,3,1
4,SendPayment,1774505114.420393,374,6,1
2,Balance,1774505114.430389,752,0,1
4,SendPayment,1774505114.441456,325,1,1
4,SendPayment,1774505114.452436,422,2,1
4,SendPayment,1774505114.462219,460,5,1
6,WriteCheck,1774505114.472289,431,4,1
2,Balance,1774505114.482287,396,8,1
2,Balance,1774505114.490424,1070,7,1
4,SendPayment,1774505114.501448,900,9,1
2,Balance,1774505114.510400,514,11,1
1,Amalgamate,1774505114.522719,760,12,1
2,Balance,1774505114.532176,1265,16,1
4,SendPayment,1774505114.542241,559,10,1
1,Amalgamate,1774505114.551440,719,14,1
6,WriteCheck,1774505114.560431,581,13,1
4,SendPayment,1774505114.570482,755,17,1
2,Balance,1774505114.581448,1633,18,1
1,Amalgamate,1774505114.590432,713,15,1
4,SendPayment,1774505114.600411,1344,19,1
5,TransactSavings,1774505114.612483,1063,3,1
4,SendPayment,1774505114.622239,797,6,1
3,DepositChecking,1774505114.631648,493,0,1
6,WriteCheck,1774505114.642403,475,1,1
6,WriteCheck,1774505114.652196,374,2,1
1,Amalgamate,1774505114.661738,385,5,1
2,Balance,1774505114.672360,784,4,1
2,Balance,1774505114.680353,329,8,1
6,WriteCheck,1774505114.690355,328,7,1
6,WriteCheck,1774505114.700352,381,9,1
6,WriteCheck,1774505114.710350,374,11,1
3,DepositChecking,1774505114.720869,391,12,1
3,DepositChecking,1774505114.730381,502,16,1
1,Amalgamate,1774505114.741501,381,10,1
2,Balance,1774505114.750360,621,14,1
1,Amalgamate,1774505114.762706,430,13,1
4,SendPayment,1774505114.772121,445,17,1
6,WriteCheck,1774505114.781390,267,18,1
6,WriteCheck,1774505114.792453,390,15,1
6,WriteCheck,1774505114.800408,398,19,1
2,Balance,1774505114.810357,414,3,1
2,Balance,1774505114.820358,303,6,1
5,TransactSavings,1774505114.831373,273,0,1
5,TransactSavings,1774505114.841878,390,1,1
6,WriteCheck,1774505114.850353,657,2,1
5,TransactSavings,1774505114.860354,613,5,1
1,Amalgamate,1774505114.870385,357,4,1
5,TransactSavings,1774505114.881406,474,8,1
1,Amalgamate,1774505114.892423,428,7,1
4,SendPayment,1774505114.902224,363,9,1
2,Balance,1774505114.912272,382,11,1
2,Balance,1774505114.920507,399,12,1
3,DepositChecking,1774505114.931391,265,16,1
1,Amalgamate,1774505114.942448,370,10,1
1,Amalgamate,1774505114.952209,362,14,1
4,SendPayment,1774505114.962273,367,13,1
3,DepositChecking,1774505114.972225,375,17,1
6,WriteCheck,1774505114.981427,392,18,1
6,WriteCheck,1774505114.990373,413,15,1
4,SendPayment,1774505115.001397,341,19,1
5,TransactSavings,1774505115.011419,365,3,1
4,SendPayment,1774505115.022288,333,6,1
2,Balance,1774505115.031593,460,0,1
2,Balance,1774505115.040338,344,1,1
2,Balance,1774505115.052719,385,2,1
6,WriteCheck,1774505115.062146,358,5,1
4,SendPayment,1774505115.072266,411,4,1
5,TransactSavings,1774505115.081436,405,8,1
4,SendPayment,1774505115.092436,413,7,1
1,Amalgamate,1774505115.102217,414,9,1
6,WriteCheck,1774505115.110371,378,11,1
4,SendPayment,1774505115.120371,398,12,1
6,WriteCheck,1774505115.131396,338,16,1
3,DepositChecking,1774505115.142461,477,10,1
4,SendPayment,1774505115.150394,267,14,1
6,WriteCheck,1774505115.162692,393,13,1
5,TransactSavings,1774505115.171406,1184,17,1
3,DepositChecking,1774505115.180364,423,18,1
4,SendPayment,1774505115.190412,309,15,1
6,WriteCheck,1774505115.202710,541,19,1
6,WriteCheck,1774505115.211401,544,3,1
3,DepositChecking,1774505115.222450,416,6,1
6,WriteCheck,1774505115.232195,421,0,1
3,DepositChecking,1774505115.242255,540,1,1
6,WriteCheck,1774505115.252245,408,2,1
2,Balance,1774505115.260404,495,5,1
6,WriteCheck,1774505115.270403,405,4,1
2,Balance,1774505115.282814,863,8,1
3,DepositChecking,1774505115.291435,789,7,1
2,Balance,1774505115.302506,848,9,1
4,SendPayment,1774505115.310357,566,11,1
1,Amalgamate,1774505115.320381,596,12,1
1,Amalgamate,1774505115.330374,825,16,1
4,SendPayment,1774505115.340385,938,10,1
3,DepositChecking,1774505115.352770,870,14,1
5,TransactSavings,1774505115.362155,853,13,1
6,WriteCheck,1774505115.370426,925,17,1
3,DepositChecking,1774505115.381703,753,18,1
1,Amalgamate,1774505115.390414,946,15,1
2,Balance,1774505115.400545,816,19,1
4,SendPayment,1774505115.412715,892,3,1
6,WriteCheck,1774505115.420395,1015,6,1
3,DepositChecking,1774505115.430438,945,0,1
5,TransactSavings,1774505115.442577,910,1,1
6,WriteCheck,1774505115.450527,1011,2,1
1,Amalgamate,1774505115.462441,926,5,1
4,SendPayment,1774505115.470379,903,4,1
4,SendPayment,1774505115.480387,939,8,1
3,DepositChecking,1774505115.492761,833,7,1
4,SendPayment,1774505115.502171,848,9,1
4,SendPayment,1774505115.512308,1014,11,1
3,DepositChecking,1774505115.522270,882,12,1
5,TransactSavings,1774505115.530380,938,16,1
4,SendPayment,1774505115.540382,849,10,1
6,WriteCheck,1774505115.550383,818,14,1
6,WriteCheck,1774505115.560462,596,13,1
3,DepositChecking,1774505115.572756,904,17,1
4,SendPayment,1774505115.582160,892,18,1
4,SendPayment,1774505115.592330,1088,15,1
3,DepositChecking,1774505115.602279,947,19,1
2,Balance,1774505115.612315,1152,3,1
6,WriteCheck,1774505115.620394,975,6,1
5,TransactSavings,1774505115.631420,943,0,1
1,Amalgamate,1774505115.640400,952,1,1
4,SendPayment,1774505115.652767,952,2,1
4,SendPayment,1774505115.660395,1287,5,1
6,WriteCheck,1774505115.670366,706,4,1
4,SendPayment,1774505115.680517,967,8,1
6,WriteCheck,1774505115.690415,942,7,1
5,TransactSavings,1774505115.702527,817,9,1
4,SendPayment,1774505115.711747,797,11,1
1,Amalgamate,1774505115.722382,916,12,1
4,SendPayment,1774505115.732278,1353,16,1
6,WriteCheck,1774505115.742436,705,10,1
6,WriteCheck,1774505115.750393,846,14,1
5,TransactSavings,1774505115.762053,1014,13,1
1,Amalgamate,1774505115.772222,723,17,1
1,Amalgamate,1774505115.781593,649,18,1
6,WriteCheck,1774505115.791479,732,15,1
2,Balance,1774505115.800386,807,19,1
4,SendPayment,1774505115.810448,857,3,1
3,DepositChecking,1774505115.822213,1039,6,1
5,TransactSavings,1774505115.831419,980,0,1
6,WriteCheck,1774505115.842508,931,1,1
3,DepositChecking,1774505115.850412,787,2,1
3,DepositChecking,1774505115.862747,887,5,1
1,Amalgamate,1774505115.872198,1020,4,1
6,WriteCheck,1774505115.881573,990,8,1
2,Balance,1774505115.890374,714,7,1
4,SendPayment,1774505115.902387,743,9,1
4,SendPayment,1774505115.912077,686,11,1
6,WriteCheck,1774505115.922328,855,12,1
2,Balance,1774505115.930396,865,16,1
3,DepositChecking,1774505115.941453,915,10,1
3,DepositChecking,1774505115.952491,962,14,1
5,TransactSavings,1774505115.962235,976,13,1
3,DepositChecking,1774505115.972299,1214,17,1
5,TransactSavings,1774505115.982281,924,18,1
2,Balance,1774505115.992275,804,15,1
1,Amalgamate,1774505116.002308,1013,19,1
6,WriteCheck,1774505116.010442,1013,3,1
3,DepositChecking,1774505116.022266,1049,6,1
2,Balance,1774505116.030382,868,0,1
1,Amalgamate,1774505116.040390,966,1,1
2,Balance,1774505116.050441,853,2,1
2,Balance,1774505116.060381,926,5,1
1,Amalgamate,1774505116.072394,1066,4,1
5,TransactSavings,1774505116.082280,1172,8,1
5,TransactSavings,1774505116.090472,851,7,1
6,WriteCheck,1774505116.100543,847,9,1
3,DepositChecking,1774505116.110415,910,11,1
1,Amalgamate,1774505116.122442,884,12,1
5,TransactSavings,1774505116.131614,779,16,1
4,SendPayment,1774505116.142433,779,10,1
1,Amalgamate,1774505116.152244,990,14,1
4,SendPayment,1774505116.160446,908,13,1
2,Balance,1774505116.170333,667,17,1
5,TransactSavings,1774505116.182395,954,18,1
5,TransactSavings,1774505116.190394,908,15,1
4,SendPayment,1774505116.202769,865,19,1
5,TransactSavings,1774505116.210380,905,3,1
1,Amalgamate,1774505116.220384,926,6,1
5,TransactSavings,1774505116.232780,994,0,1
3,DepositChecking,1774505116.240387,853,1,1
2,Balance,1774505116.250377,903,2,1
5,TransactSavings,1774505116.260378,811,5,1
5,TransactSavings,1774505116.270385,781,4,1
4,SendPayment,1774505116.281619,986,8,1
5,TransactSavings,1774505116.290397,864,7,1
4,SendPayment,1774505116.300375,691,9,1
5,TransactSavings,1774505116.312754,839,11,1
5,TransactSavings,1774505116.320382,801,12,1
1,Amalgamate,1774505116.331446,1056,16,1
5,TransactSavings,1774505116.342480,889,10,1
2,Balance,1774505116.350433,808,14,1
3,DepositChecking,1774505116.360310,696,13,1
6,WriteCheck,1774505116.370384,954,17,1
1,Amalgamate,1774505116.381416,1063,18,1
6,WriteCheck,1774505116.392513,1017,15,1
5,TransactSavings,1774505116.402247,970,19,1
1,Amalgamate,1774505116.412292,958,3,1
6,WriteCheck,1774505116.420405,1031,6,1
1,Amalgamate,1774505116.430431,1046,0,1
4,SendPayment,1774505116.441473,826,1,1
1,Amalgamate,1774505116.452491,953,2,1
3,DepositChecking,1774505116.462224,814,5,1
4,SendPayment,1774505116.472255,917,4,1
5,TransactSavings,1774505116.482299,890,8,1
2,Balance,1774505116.492272,822,7,1
5,TransactSavings,1774505116.500432,564,9,1
3,DepositChecking,1774505116.512727,767,11,1
2,Balance,1774505116.522166,889,12,1
2,Balance,1774505116.532362,840,16,1
4,SendPayment,1774505116.542250,686,10,1
1,Amalgamate,1774505116.552284,818,14,1
4,SendPayment,1774505116.560492,867,13,1
4,SendPayment,1774505116.572308,857,17,1
2,Balance,1774505116.582008,775,18,1
1,Amalgamate,1774505116.590401,975,15,1
5,TransactSavings,1774505116.600473,864,19,1
5,TransactSavings,1774505116.612406,927,3,1
1,Amalgamate,1774505116.622248,869,6,1
4,SendPayment,1774505116.632317,1033,0,1
3,DepositChecking,1774505116.642273,806,1,1
3,DepositChecking,1774505116.650578,802,2,1
5,TransactSavings,1774505116.662700,790,5,1
5,TransactSavings,1774505116.671587,753,4,1
6,WriteCheck,1774505116.680432,541,8,1
4,SendPayment,1774505116.691450,823,7,1
4,SendPayment,1774505116.700426,1059,9,1
6,WriteCheck,1774505116.710448,850,11,1
4,SendPayment,1774505116.720990,1011,12,1
3,DepositChecking,1774505116.732626,1063,16,1
2,Balance,1774505116.740359,686,10,1
2,Balance,1774505116.752742,573,14,1
3,DepositChecking,1774505116.760440,304,13,1
4,SendPayment,1774505116.770424,295,17,1
5,TransactSavings,1774505116.782697,422,18,1
1,Amalgamate,1774505116.792164,387,15,1
4,SendPayment,1774505116.802299,400,19,1
2,Balance,1774505116.812255,398,3,1
4,SendPayment,1774505116.820942,406,6,1
4,SendPayment,1774505116.831436,354,0,1
6,WriteCheck,1774505116.842451,427,1,1
2,Balance,1774505116.852219,530,2,1
6,WriteCheck,1774505116.860442,476,5,1
5,TransactSavings,1774505116.872426,457,4,1
3,DepositChecking,1774505116.881448,516,8,1
6,WriteCheck,1774505116.892503,777,7,1
4,SendPayment,1774505116.900427,564,9,1
5,TransactSavings,1774505116.912414,528,11,1
4,SendPayment,1774505116.922225,539,12,1
5,TransactSavings,1774505116.930376,490,16,1
4,SendPayment,1774505116.941424,707,10,1
6,WriteCheck,1774505116.952500,819,14,1
6,WriteCheck,1774505116.961415,795,13,1
4,SendPayment,1774505116.972496,888,17,1
5,TransactSavings,1774505116.981601,790,18,1
6,WriteCheck,1774505116.990517,990,15,1
5,TransactSavings,1774505117.002746,938,19,1
3,DepositChecking,1774505117.011493,1101,3,1
3,DepositChecking,1774505117.020476,696,6,1
4,SendPayment,1774505117.032430,686,0,1
3,DepositChecking,1774505117.041703,436,1,1
6,WriteCheck,1774505117.050404,869,2,1
4,SendPayment,1774505117.060410,973,5,1
6,WriteCheck,1774505117.071738,1099,4,1
2,Balance,1774505117.082443,1087,8,1
6,WriteCheck,1774505117.091240,662,7,1
4,SendPayment,1774505117.102541,916,9,1
3,DepositChecking,1774505117.112223,989,11,1
4,SendPayment,1774505117.120591,815,12,1
3,DepositChecking,1774505117.132699,805,16,1
6,WriteCheck,1774505117.141141,626,10,1
1,Amalgamate,1774505117.150411,625,14,1
6,WriteCheck,1774505117.162756,822,13,1
5,TransactSavings,1774505117.171378,629,17,1
4,SendPayment,1774505117.180426,715,18,1
5,TransactSavings,1774505117.190407,842,15,1
5,TransactSavings,1774505117.202786,931,19,1
1,Amalgamate,1774505117.212153,946,3,1
5,TransactSavings,1774505117.222326,952,6,1
2,Balance,1774505117.231390,1091,0,1
3,DepositChecking,1774505117.240436,1172,1,1
2,Balance,1774505117.251418,976,2,1
5,TransactSavings,1774505117.260505,990,5,1
4,SendPayment,1774505117.270447,902,4,1
4,SendPayment,1774505117.280410,933,8,1
4,SendPayment,1774505117.291442,984,7,1
5,TransactSavings,1774505117.300458,889,9,1
4,SendPayment,1774505117.310400,905,11,1
5,TransactSavings,1774505117.320416,905,12,1
1,Amalgamate,1774505117.332455,959,16,1
5,TransactSavings,1774505117.342239,903,10,1
3,DepositChecking,1774505117.352287,849,14,1
5,TransactSavings,1774505117.362267,833,13,1
2,Balance,1774505117.372280,885,17,1
2,Balance,1774505117.382285,813,18,1
5,TransactSavings,1774505117.392273,860,15,1
6,WriteCheck,1774505117.402285,889,19,1
2,Balance,1774505117.412274,805,3,1
6,WriteCheck,1774505117.420424,790,6,1
2,Balance,1774505117.430584,994,0,1
4,SendPayment,1774505117.442447,994,1,1
2,Balance,1774505117.450458,901,2,1
3,DepositChecking,1774505117.460376,891,5,1
2,Balance,1774505117.470385,832,4,1
1,Amalgamate,1774505117.482769,945,8,1
4,SendPayment,1774505117.492156,841,7,1
1,Amalgamate,1774505117.502299,861,9,1
2,Balance,1774505117.512267,755,11,1
2,Balance,1774505117.522275,911,12,1
6,WriteCheck,1774505117.532275,835,16,1
6,WriteCheck,1774505117.542282,990,10,1
2,Balance,1774505117.552272,858,14,1
1,Amalgamate,1774505117.562276,923,13,1
4,SendPayment,1774505117.572275,908,17,1
5,TransactSavings,1774505117.580482,1169,18,1
3,DepositChecking,1774505117.592749,954,15,1
1,Amalgamate,1774505117.600390,1033,19,1
6,WriteCheck,1774505117.610389,937,3,1
4,SendPayment,1774505117.620397,1068,6,1
4,SendPayment,1774505117.631719,1012,0,1
1,Amalgamate,1774505117.642427,887,1,1
2,Balance,1774505117.650389,643,2,1
4,SendPayment,1774505117.662750,949,5,1
2,Balance,1774505117.672186,789,4,1
3,DepositChecking,1774505117.680356,549,8,1
5,TransactSavings,1774505117.690383,716,7,1
6,WriteCheck,1774505117.700452,840,9,1
1,Amalgamate,1774505117.710384,952,11,1
5,TransactSavings,1774505117.722784,962,12,1
3,DepositChecking,1774505117.730377,851,16,1
4,SendPayment,1774505117.740419,870,10,1
2,Balance,1774505117.750381,962,14,1
4,SendPayment,1774505117.760374,896,13,1
5,TransactSavings,1774505117.770376,803,17,1
5,TransactSavings,1774505117.782755,910,18,1
6,WriteCheck,1774505117.791421,906,15,1
2,Balance,1774505117.802494,786,19,1
5,TransactSavings,1774505117.810376,846,3,1
4,SendPayment,1774505117.820374,933,6,1
6,WriteCheck,1774505117.830380,835,0,1
2,Balance,1774505117.840562,1034,1,1
2,Balance,1774505117.851432,734,2,1
1,Amalgamate,1774505117.861603,1005,5,1
3,DepositChecking,1774505117.871746,1086,4,1
1,Amalgamate,1774505117.881587,956,8,1
4,SendPayment,1774505117.890366,924,7,1
2,Balance,1774505117.902453,969,9,1
5,TransactSavings,1774505117.910367,854,11,1
1,Amalgamate,1774505117.921943,958,12,1
2,Balance,1774505117.930467,872,16,1
5,TransactSavings,1774505117.942504,814,10,1
6,WriteCheck,1774505117.951431,903,14,1
3,DepositChecking,1774505117.960365,811,13,1
1,Amalgamate,1774505117.972179,999,17,1
5,TransactSavings,1774505117.981610,868,18,1
4,SendPayment,1774505117.990454,904,15,1
4,SendPayment,1774505118.002747,873,19,1
4,SendPayment,1774505118.010364,854,3,1
3,DepositChecking,1774505118.020371,894,6,1
3,DepositChecking,1774505118.031436,954,0,1
5,TransactSavings,1774505118.040453,998,1,1
6,WriteCheck,1774505118.052739,949,2,1
2,Balance,1774505118.060387,999,5,1
4,SendPayment,1774505118.070379,957,4,1
5,TransactSavings,1774505118.080440,1026,8,1
2,Balance,1774505118.091487,936,7,1
1,Amalgamate,1774505118.100457,983,9,1
4,SendPayment,1774505118.110459,863,11,1
2,Balance,1774505118.122747,985,12,1
6,WriteCheck,1774505118.131417,901,16,1
1,Amalgamate,1774505118.140512,978,10,1
1,Amalgamate,1774505118.152722,931,14,1
1,Amalgamate,1774505118.161501,1050,13,1
5,TransactSavings,1774505118.172464,839,17,1
1,Amalgamate,1774505118.181587,917,18,1
4,SendPayment,1774505118.192456,1112,15,1
1,Amalgamate,1774505118.200410,748,19,1
6,WriteCheck,1774505118.212427,659,3,1
5,TransactSavings,1774505118.222098,920,6,1
6,WriteCheck,1774505118.230374,879,0,1
5,TransactSavings,1774505118.242463,987,1,1
5,TransactSavings,1774505118.250369,934,2,1
5,TransactSavings,1774505118.262755,862,5,1
4,SendPayment,1774505118.270445,889,4,1
6,WriteCheck,1774505118.280370,1012,8,1
