Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.200,0.797,0.265,0.696,0.851,0.945,1.063,1.101,1.214,1.214,1.255
5,17.000,0.775,0.288,0.615,0.865,0.923,0.990,1.036,1.141,1.141,1.291
10,13.600,0.823,0.329,0.693,0.904,0.948,1.019,1.041,2.761,2.761,1.215
15,16.200,0.939,0.556,0.876,0.911,0.988,1.100,1.170,1.440,1.440,1.065
20,10.400,1.003,0.610,0.898,0.952,1.049,1.287,1.328,2.454,2.454,0.997
25,17.600,0.853,0.290,0.787,0.893,0.972,1.103,1.129,1.378,1.378,1.172
30,15.600,0.893,0.493,0.859,0.911,0.950,1.033,1.070,1.108,1.108,1.119
35,16.800,0.685,0.299,0.418,0.642,0.896,0.981,1.072,2.823,2.823,1.460
40,16.000,0.507,0.279,0.349,0.409,0.644,0.946,1.008,1.099,1.099,1.971
45,15.200,0.612,0.255,0.397,0.602,0.811,0.933,1.003,1.528,1.528,1.634
50,15.800,0.839,0.261,0.362,0.432,0.756,1.009,1.691,12.755,12.755,1.192
55,16.200,0.622,0.250,0.334,0.396,0.669,0.924,1.045,8.997,8.997,1.608
