Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,12.800,0.737,0.272,0.445,0.593,0.879,1.099,1.184,3.746,3.746,1.357
5,14.800,0.722,0.248,0.417,0.725,0.928,1.067,1.181,3.385,3.385,1.385
10,15.600,0.820,0.285,0.545,0.850,0.949,1.076,1.167,3.397,3.397,1.219
15,13.000,0.776,0.260,0.421,0.681,0.961,1.242,1.696,2.201,2.201,1.289
20,15.800,0.856,0.268,0.370,0.515,0.726,1.035,1.179,21.187,21.187,1.168
25,17.600,0.633,0.239,0.381,0.654,0.829,0.889,0.962,2.382,2.382,1.580
30,14.200,0.736,0.264,0.429,0.694,0.879,1.073,1.218,2.946,2.946,1.358
35,14.600,1.216,0.272,0.504,0.714,0.828,1.071,1.546,34.232,34.232,0.822
40,15.000,0.847,0.620,0.785,0.828,0.875,0.930,0.983,1.860,1.860,1.181
45,15.800,0.806,0.307,0.744,0.823,0.880,0.964,1.187,1.307,1.307,1.241
50,13.600,1.274,0.332,0.773,0.840,0.887,1.053,1.197,31.633,31.633,0.785
55,13.800,1.465,0.220,0.526,0.803,0.871,0.947,1.867,39.724,39.724,0.682
