Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,15.400,0.672,0.315,0.519,0.744,0.795,0.861,0.891,1.000,1.000,1.487
5,12.200,0.490,0.278,0.367,0.444,0.505,0.781,0.957,1.025,1.025,2.042
10,13.400,0.561,0.238,0.350,0.436,0.776,0.930,0.995,1.924,1.924,1.783
15,16.200,1.594,0.249,0.372,0.553,0.821,0.924,9.201,31.978,31.978,0.627
20,16.800,1.953,0.302,0.374,0.509,0.919,1.684,6.642,37.664,37.664,0.512
25,13.400,1.122,0.284,0.396,0.513,0.897,1.365,2.172,17.243,17.243,0.892
30,11.800,0.731,0.313,0.368,0.442,0.777,1.111,2.973,5.216,5.216,1.368
35,16.400,1.416,0.250,0.377,0.513,0.748,1.048,1.405,54.976,54.976,0.706
40,14.400,0.600,0.236,0.379,0.461,0.641,0.873,1.037,5.183,5.183,1.668
45,16.600,0.460,0.273,0.369,0.429,0.493,0.613,0.678,1.746,1.746,2.174
50,14.200,1.879,0.236,0.364,0.617,0.906,1.216,4.690,48.881,48.881,0.532
55,16.200,0.888,0.526,0.762,0.809,0.842,0.915,1.033,7.026,7.026,1.126
