Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,13.600,0.638,0.246,0.460,0.670,0.775,0.868,0.902,2.439,2.439,1.569
5,15.800,0.644,0.254,0.339,0.418,0.502,0.961,1.130,11.600,11.600,1.553
10,13.800,0.463,0.230,0.344,0.396,0.498,0.788,0.811,0.947,0.947,2.159
15,16.200,0.685,0.263,0.359,0.421,0.678,1.359,2.332,4.307,4.307,1.460
20,13.200,1.966,0.230,0.370,0.427,0.658,2.876,10.342,34.671,34.671,0.509
25,15.200,1.264,0.273,0.405,0.538,0.840,1.664,3.049,36.074,36.074,0.791
30,14.600,0.546,0.296,0.380,0.465,0.649,0.827,1.141,1.724,1.724,1.831
35,16.400,1.962,0.264,0.399,0.559,0.819,1.013,1.642,57.835,57.835,0.510
40,13.800,0.524,0.259,0.386,0.454,0.619,0.847,0.962,1.162,1.162,1.907
45,15.800,0.432,0.249,0.354,0.390,0.478,0.619,0.689,0.943,0.943,2.317
50,14.200,0.821,0.256,0.353,0.432,0.717,0.867,1.655,18.152,18.152,1.217
55,14.600,0.864,0.613,0.765,0.820,0.863,1.039,1.263,1.897,1.897,1.157
