Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.200,1.635,0.501,0.689,0.864,1.184,1.638,1.882,51.218,51.218,0.611
5,13.600,1.031,0.392,0.550,0.868,1.255,1.447,1.977,5.832,5.832,0.970
10,14.800,0.846,0.402,0.471,0.707,1.136,1.321,1.543,3.561,3.561,1.182
15,13.400,1.716,0.946,1.153,1.403,1.833,2.073,2.550,9.605,9.605,0.583
20,18.000,1.200,0.329,0.977,1.100,1.435,1.808,1.838,3.835,3.835,0.833
25,14.600,1.855,0.568,1.022,1.162,1.239,1.634,1.846,44.628,44.628,0.539
30,15.000,1.207,0.351,0.969,1.073,1.435,1.725,1.850,3.355,3.355,0.828
35,12.800,3.006,0.338,0.407,0.777,1.089,4.692,20.089,51.819,51.819,0.333
40,12.400,4.040,0.263,0.953,1.062,1.124,2.566,20.529,70.554,70.554,0.248
45,14.400,3.054,0.348,0.520,0.905,0.976,1.052,21.243,60.658,60.658,0.327
50,18.600,4.216,0.274,0.453,0.930,1.063,1.186,40.769,88.115,88.115,0.237
55,16.200,7.974,0.274,0.400,0.879,1.023,34.199,59.668,75.919,75.919,0.125
